Date,Open,High,Low,Close,Adj Close,Volume
2020-02-06,4.170000,4.310000,4.140000,4.250000,4.250000,8249600
2020-02-07,4.250000,4.310000,4.130000,4.250000,4.250000,7425900
2020-02-10,4.300000,4.430000,4.270000,4.380000,4.380000,9929400
2020-02-11,4.450000,4.470000,4.160000,4.410000,4.410000,10141400
2020-02-12,4.370000,4.520000,4.360000,4.480000,4.480000,12085500
2020-02-13,4.450000,4.520000,4.280000,4.460000,4.460000,9920900
2020-02-14,4.450000,4.510000,4.360000,4.420000,4.420000,6549000
2020-02-18,4.520000,5.010000,4.480000,4.850000,4.850000,31181600
2020-02-19,5.270000,5.780000,5.000000,5.720000,5.720000,52166000
2020-02-20,5.950000,6.050000,5.100000,5.510000,5.510000,69794900
2020-02-21,5.650000,5.760000,5.320000,5.570000,5.570000,24450900
2020-02-24,4.910000,5.330000,4.870000,5.200000,5.200000,24396300
2020-02-25,5.440000,5.440000,4.700000,4.830000,4.830000,29403200
2020-02-26,4.700000,5.090000,4.600000,4.750000,4.750000,23484200
2020-02-27,4.300000,4.540000,4.040000,4.040000,4.040000,28485800
2020-02-28,3.860000,4.340000,3.820000,4.340000,4.340000,27696600
2020-03-02,4.600000,4.650000,4.050000,4.360000,4.360000,31294000
2020-03-03,4.520000,4.720000,4.360000,4.510000,4.510000,23812500
2020-03-04,4.600000,4.800000,4.450000,4.760000,4.760000,17696200
2020-03-05,4.450000,4.750000,4.280000,4.540000,4.540000,23708200
2020-03-06,4.340000,4.490000,4.150000,4.330000,4.330000,16028100
2020-03-09,3.770000,4.200000,3.750000,3.930000,3.930000,17549700
2020-03-10,4.150000,4.190000,3.880000,4.140000,4.140000,14726200
2020-03-11,4.000000,4.090000,3.720000,3.780000,3.780000,14971600
2020-03-12,3.230000,3.490000,3.200000,3.270000,3.270000,20183700
2020-03-13,3.550000,3.570000,3.140000,3.380000,3.380000,14780100
2020-03-16,2.920000,3.200000,2.680000,2.760000,2.760000,17296700
2020-03-17,2.840000,3.300000,2.530000,3.280000,3.280000,19723500
2020-03-18,2.940000,3.180000,2.700000,2.830000,2.830000,17252900
2020-03-19,2.870000,3.200000,2.840000,3.120000,3.120000,15611400
2020-03-20,3.290000,3.350000,3.030000,3.320000,3.320000,24218800
2020-03-23,3.300000,3.500000,3.200000,3.420000,3.420000,15821800
2020-03-24,3.660000,3.860000,3.540000,3.730000,3.730000,15143700
2020-03-25,3.800000,4.140000,3.670000,3.840000,3.840000,17453400
2020-03-26,3.900000,4.030000,3.680000,3.810000,3.810000,12172500
2020-03-27,3.640000,3.940000,3.480000,3.720000,3.720000,10894100
2020-03-30,3.710000,3.750000,3.510000,3.580000,3.580000,11971300
2020-03-31,3.610000,3.680000,3.470000,3.540000,3.540000,8613800
2020-04-01,3.420000,3.480000,3.220000,3.310000,3.310000,11528100
2020-04-02,3.260000,3.540000,3.260000,3.400000,3.400000,8421300
2020-04-03,3.380000,3.470000,3.300000,3.350000,3.350000,9543100
2020-04-06,3.500000,3.700000,3.470000,3.690000,3.690000,11667200
2020-04-07,3.850000,3.860000,3.630000,3.650000,3.650000,11641300
2020-04-08,3.690000,3.930000,3.660000,3.820000,3.820000,11846800
2020-04-09,3.940000,4.020000,3.770000,3.820000,3.820000,10718800
2020-04-13,3.800000,4.120000,3.700000,4.120000,4.120000,11544300
2020-04-14,4.200000,4.340000,4.140000,4.270000,4.270000,11021900
2020-04-15,4.200000,4.210000,3.940000,4.180000,4.180000,9551700
2020-04-16,4.220000,4.570000,4.160000,4.490000,4.490000,13172000
2020-04-17,4.690000,4.750000,4.350000,4.520000,4.520000,12209100
2020-04-20,4.430000,4.590000,4.370000,4.420000,4.420000,10440700
2020-04-21,4.340000,4.390000,4.140000,4.220000,4.220000,8788300
2020-04-22,4.330000,4.420000,4.270000,4.330000,4.330000,7170100
2020-04-23,4.350000,4.440000,4.260000,4.300000,4.300000,6479200
2020-04-24,4.320000,4.400000,4.240000,4.400000,4.400000,5158500
2020-04-27,4.440000,4.580000,4.430000,4.500000,4.500000,6496300
2020-04-28,4.550000,4.600000,4.330000,4.440000,4.440000,6706500
2020-04-29,4.480000,4.500000,4.370000,4.420000,4.420000,6066200
2020-04-30,4.360000,4.400000,4.180000,4.180000,4.180000,7982700
2020-05-01,4.110000,4.160000,3.790000,3.920000,3.920000,10378400
2020-05-04,3.910000,4.130000,3.890000,4.090000,4.090000,7136300
2020-05-05,4.200000,4.350000,4.110000,4.170000,4.170000,6665300
2020-05-06,4.210000,4.250000,4.100000,4.170000,4.170000,6284000
2020-05-07,4.190000,4.370000,4.180000,4.370000,4.370000,8861000
2020-05-08,4.390000,4.570000,4.230000,4.550000,4.550000,9152300
2020-05-11,4.450000,4.510000,4.300000,4.310000,4.310000,9185500
2020-05-12,4.370000,4.540000,4.260000,4.280000,4.280000,9233900
2020-05-13,4.250000,4.440000,3.970000,4.110000,4.110000,16999800
2020-05-14,4.060000,4.080000,3.800000,4.060000,4.060000,17036400
2020-05-15,4.000000,4.120000,3.860000,4.080000,4.080000,6831400
2020-05-18,4.230000,4.250000,4.120000,4.170000,4.170000,7486500
2020-05-19,4.150000,4.370000,4.140000,4.170000,4.170000,9076900
2020-05-20,4.260000,4.340000,4.180000,4.220000,4.220000,6979900
2020-05-21,4.200000,4.260000,4.090000,4.170000,4.170000,6880200
2020-05-22,4.170000,4.170000,4.050000,4.110000,4.110000,4939500
2020-05-26,4.200000,4.390000,4.180000,4.220000,4.220000,13350600
2020-05-27,4.280000,4.380000,4.030000,4.330000,4.330000,13745100
2020-05-28,4.290000,4.510000,4.220000,4.250000,4.250000,14081200
2020-05-29,4.270000,4.280000,4.090000,4.210000,4.210000,11848000
2020-06-01,4.110000,4.340000,4.110000,4.280000,4.280000,9989600
2020-06-02,4.300000,4.310000,4.110000,4.150000,4.150000,11980400
2020-06-03,4.170000,4.200000,4.120000,4.170000,4.170000,7583400
2020-06-04,4.250000,5.000000,4.210000,5.000000,5.000000,33028500
2020-06-05,5.050000,5.100000,4.750000,4.880000,4.880000,24537100
2020-06-08,5.000000,5.300000,4.930000,5.280000,5.280000,18109800
2020-06-09,5.150000,5.320000,5.070000,5.100000,5.100000,13107600
2020-06-10,5.290000,5.970000,5.190000,5.660000,5.660000,39394200
2020-06-11,5.430000,5.430000,4.720000,4.750000,4.750000,25600100
2020-06-12,5.160000,5.360000,4.880000,5.060000,5.060000,15587300
2020-06-15,4.950000,5.270000,4.830000,5.210000,5.210000,11289300
2020-06-16,5.480000,5.620000,5.270000,5.450000,5.450000,14720600
2020-06-17,5.490000,5.510000,5.250000,5.290000,5.290000,10316300
2020-06-18,5.170000,5.450000,5.120000,5.390000,5.390000,8186200
2020-06-19,5.440000,5.640000,5.350000,5.480000,5.480000,14987000
2020-06-22,5.470000,5.610000,5.390000,5.570000,5.570000,9008400
2020-06-23,6.030000,7.030000,5.970000,6.430000,6.430000,69169600
2020-06-24,7.250000,7.810000,6.910000,7.570000,7.570000,87133400
2020-06-25,7.430000,7.530000,7.070000,7.350000,7.350000,33448100
2020-06-26,7.250000,7.280000,6.620000,6.830000,6.830000,29148100
2020-06-29,7.070000,8.260000,7.060000,7.990000,7.990000,46928500
2020-06-30,8.270000,8.340000,7.740000,8.210000,8.210000,34003600
2020-07-01,8.640000,9.310000,8.440000,8.870000,8.870000,55809100
2020-07-02,9.520000,9.650000,8.950000,9.100000,9.100000,38140000
2020-07-06,9.630000,10.490000,9.520000,9.980000,9.980000,54725200
2020-07-07,9.550000,9.690000,8.710000,9.340000,9.340000,44654100
2020-07-08,9.690000,9.730000,9.210000,9.500000,9.500000,24096200
2020-07-09,9.350000,9.360000,8.500000,8.950000,8.950000,44600200
2020-07-10,8.850000,9.490000,8.760000,9.300000,9.300000,27965400
2020-07-13,9.570000,9.590000,8.280000,8.310000,8.310000,32436700
2020-07-14,8.300000,8.740000,8.170000,8.650000,8.650000,18920100
2020-07-15,8.820000,9.160000,8.730000,9.040000,9.040000,20029200
2020-07-16,8.920000,9.660000,8.910000,9.060000,9.060000,20408400
2020-07-17,9.130000,9.210000,8.860000,8.990000,8.990000,13686600
2020-07-20,8.920000,9.050000,8.320000,8.600000,8.600000,17247600
2020-07-21,8.720000,9.390000,8.680000,9.080000,9.080000,26048300
2020-07-22,9.040000,9.250000,8.680000,8.950000,8.950000,17347400
2020-07-23,8.770000,8.880000,8.370000,8.530000,8.530000,20579300
2020-07-24,8.140000,8.740000,7.920000,8.520000,8.520000,19477500
2020-07-27,8.530000,8.690000,8.130000,8.350000,8.350000,15364300
2020-07-28,8.350000,8.350000,8.030000,8.060000,8.060000,10326100
2020-07-29,8.110000,8.280000,7.970000,8.190000,8.190000,11953500
2020-07-30,7.870000,8.020000,7.660000,7.970000,7.970000,13539600
2020-07-31,8.130000,8.130000,7.070000,7.710000,7.710000,15149900
2020-08-03,8.170000,9.250000,8.060000,9.160000,9.160000,32474000
2020-08-04,9.230000,9.300000,8.770000,9.130000,9.130000,18476800
2020-08-05,9.090000,9.430000,8.980000,9.330000,9.330000,14883000
2020-08-06,10.150000,11.480000,10.110000,10.730000,10.730000,72771500
2020-08-07,10.950000,11.750000,10.730000,11.280000,11.280000,36721400
2020-08-10,11.960000,12.200000,11.540000,12.040000,12.040000,31849800
2020-08-11,11.980000,11.990000,11.240000,11.310000,11.310000,26250400
2020-08-12,10.490000,10.720000,10.110000,10.630000,10.630000,64125800
2020-08-13,11.170000,11.920000,10.890000,11.360000,11.360000,35522200
2020-08-14,11.340000,11.780000,11.260000,11.400000,11.400000,22857000
2020-08-17,11.430000,12.340000,11.430000,12.200000,12.200000,26003700
2020-08-18,12.350000,12.930000,12.080000,12.770000,12.770000,28802300
2020-08-19,13.010000,14.350000,13.000000,13.650000,13.650000,55208800
2020-08-20,13.980000,13.990000,12.870000,13.670000,13.670000,34901200
2020-08-21,13.450000,13.930000,12.690000,12.930000,12.930000,43700200
2020-08-24,13.000000,13.270000,11.810000,12.340000,12.340000,37289600
2020-08-25,12.360000,12.920000,12.330000,12.850000,12.850000,20871000
2020-08-26,12.880000,13.720000,12.780000,13.050000,13.050000,31613800
2020-08-27,13.080000,13.420000,12.690000,12.990000,12.990000,19234800
2020-08-28,13.100000,13.170000,12.700000,13.070000,13.070000,14974200
2020-08-31,13.110000,13.330000,12.760000,12.980000,12.980000,16437500
2020-09-01,13.050000,14.200000,12.780000,14.130000,14.130000,29911800
2020-09-02,14.000000,14.090000,12.500000,13.140000,13.140000,29099000
2020-09-03,12.880000,13.110000,11.500000,11.550000,11.550000,32688500
2020-09-04,12.150000,12.170000,10.560000,11.760000,11.760000,34206000
2020-09-08,11.310000,12.250000,11.110000,11.730000,11.730000,25860400
2020-09-09,11.950000,12.290000,11.810000,12.130000,12.130000,17737900
2020-09-10,12.220000,12.550000,11.980000,12.120000,12.120000,22876400
2020-09-11,12.220000,12.240000,11.530000,11.710000,11.710000,14346200
2020-09-14,11.850000,12.280000,11.780000,12.240000,12.240000,12930300
2020-09-15,12.310000,13.030000,12.300000,12.530000,12.530000,17643700
2020-09-16,12.660000,13.090000,12.570000,12.940000,12.940000,16616600
2020-09-17,12.560000,12.850000,12.160000,12.840000,12.840000,14264200
2020-09-18,12.820000,13.640000,12.700000,13.560000,13.560000,27641900
2020-09-21,12.460000,13.400000,12.300000,13.360000,13.360000,25096600
2020-09-22,13.250000,13.330000,12.560000,12.930000,12.930000,19298900
2020-09-23,12.960000,13.490000,12.060000,12.080000,12.080000,20589200
2020-09-24,11.860000,12.000000,10.920000,11.240000,11.240000,31136300
2020-09-25,11.340000,11.900000,11.300000,11.650000,11.650000,18824900
2020-09-28,12.530000,13.380000,12.450000,13.200000,13.200000,34873400
2020-09-29,13.200000,13.590000,12.880000,13.160000,13.160000,21752200
2020-09-30,13.270000,13.700000,12.870000,13.410000,13.410000,23336100
2020-10-01,13.770000,14.030000,13.510000,14.000000,14.000000,25740600
2020-10-02,13.380000,14.290000,13.270000,14.140000,14.140000,23666100
2020-10-05,14.660000,15.960000,14.660000,15.740000,15.740000,42027000
2020-10-06,16.030001,16.500000,15.310000,16.230000,16.230000,43963000
2020-10-07,16.530001,18.260000,16.520000,18.230000,18.230000,52296900
2020-10-08,19.020000,19.020000,17.430000,17.879999,17.879999,54469100
2020-10-09,17.799999,18.889999,17.700001,18.430000,18.430000,34130200
2020-10-12,18.879999,18.889999,17.290001,17.639999,17.639999,38520100
2020-10-13,17.299999,17.559999,16.770000,17.100000,17.100000,24070100
2020-10-14,17.400000,17.830000,17.110001,17.299999,17.299999,18204400
2020-10-15,16.820000,17.160000,16.469999,17.030001,17.030001,20686700
2020-10-16,17.480000,17.480000,16.139999,16.270000,16.270000,33157900
2020-10-19,16.170000,16.700001,15.900000,16.389999,16.389999,15712600
2020-10-20,16.440001,16.820000,16.230000,16.290001,16.290001,12508700
2020-10-21,16.250000,16.400000,14.810000,14.860000,14.860000,26764600
2020-10-22,15.080000,15.360000,14.360000,14.960000,14.960000,22490900
2020-10-23,15.170000,15.390000,14.730000,15.030000,15.030000,20239000
2020-10-26,14.670000,15.480000,13.930000,14.460000,14.460000,26502000
2020-10-27,14.750000,15.240000,14.330000,14.790000,14.790000,21078300
2020-10-28,14.300000,15.070000,14.250000,14.800000,14.800000,23203900
2020-10-29,14.920000,15.030000,14.390000,14.810000,14.810000,16661300
2020-10-30,14.650000,14.810000,13.690000,14.000000,14.000000,20807300
2020-11-02,14.400000,15.500000,13.920000,15.470000,15.470000,32024300
2020-11-03,16.129999,17.400000,15.870000,16.950001,16.950001,56500800
2020-11-04,16.330000,16.760000,15.250000,16.610001,16.610001,38066500
2020-11-05,17.650000,18.879999,17.590000,18.840000,18.840000,39553100
2020-11-06,18.500000,19.100000,17.760000,18.860001,18.860001,31738900
2020-11-09,19.450001,21.889999,18.469999,20.309999,20.309999,56114000
2020-11-10,21.190001,21.610001,19.030001,20.010000,20.010000,39513500
2020-11-11,20.340000,23.000000,20.340000,23.000000,23.000000,59408100
2020-11-12,22.850000,24.260000,21.930000,23.450001,23.450001,53484400
2020-11-13,24.350000,24.780001,22.240000,23.430000,23.430000,45987100
2020-11-16,23.650000,25.490000,23.620001,25.000000,25.000000,46065400
2020-11-17,22.059999,23.379999,22.000000,22.980000,22.980000,78945900
2020-11-18,23.370001,23.799999,22.559999,23.219999,23.219999,34965000
2020-11-19,23.670000,24.870001,23.450001,23.790001,23.790001,44568000
2020-11-20,24.100000,24.740000,23.969999,24.360001,24.360001,24135400
2020-11-23,24.950001,27.020000,24.740000,26.870001,26.870001,45700300
2020-11-24,28.360001,28.700001,25.510000,26.719999,26.719999,51677900
2020-11-25,25.799999,26.400000,25.070000,26.160000,26.160000,30996200
2020-11-27,26.990000,27.780001,25.660000,26.240000,26.240000,23115600
2020-11-30,27.330000,27.350000,23.510000,26.389999,26.389999,33651300
2020-12-01,25.920000,26.049999,23.750000,24.469999,24.469999,32719200
2020-12-02,22.629999,24.799999,22.250000,24.070000,24.070000,30650200
2020-12-03,24.340000,24.730000,23.809999,23.850000,23.850000,17686700
2020-12-04,24.270000,24.930000,23.950001,24.850000,24.850000,18433700
2020-12-07,25.400000,25.980000,24.440001,24.750000,24.750000,16997600
2020-12-08,25.010000,29.490000,24.920000,28.740000,28.740000,69823100
2020-12-09,28.799999,29.690001,26.170000,26.740000,26.740000,36201300
2020-12-10,26.500000,28.110001,26.260000,27.190001,27.190001,24464800
2020-12-11,27.080000,27.850000,26.219999,26.770000,26.770000,16732500
2020-12-14,27.190001,27.400000,25.700001,25.700001,25.700001,16546400
2020-12-15,27.389999,29.309999,26.860001,28.469999,28.469999,49678700
2020-12-16,28.549999,28.770000,27.400000,28.459999,28.459999,22609100
2020-12-17,28.500000,30.980000,28.490000,30.570000,30.570000,42578400
2020-12-18,30.530001,33.020000,29.879999,31.629999,31.629999,52665500
2020-12-21,31.420000,32.459999,30.459999,32.369999,32.369999,35161300
2020-12-22,34.410000,36.740002,33.799999,35.689999,35.689999,51652500
2020-12-23,36.759998,37.110001,34.680000,36.139999,36.139999,40179900
2020-12-24,35.709999,36.669998,34.750000,35.580002,35.580002,19919300
2020-12-28,37.369999,37.509998,33.529999,33.570000,33.570000,35787800
2020-12-29,33.330002,33.459999,30.840000,32.459999,32.459999,32063600
2020-12-30,33.139999,34.400002,32.560001,34.189999,34.189999,24354700
2020-12-31,34.099998,34.570000,33.099998,33.910000,33.910000,15594600
2021-01-04,34.639999,34.919998,31.070000,32.169998,32.169998,29515600
2021-01-05,30.790001,33.090000,30.400000,32.549999,32.549999,18544000
2021-01-06,34.369999,36.860001,33.720001,35.000000,35.000000,45988500
2021-01-07,43.599998,47.310001,43.160000,47.290001,47.290001,98454300
2021-01-08,51.980000,55.980000,49.200001,53.779999,53.779999,100750500
2021-01-11,48.860001,54.349998,47.619999,53.970001,53.970001,46207500
2021-01-12,62.400002,66.070000,60.830002,66.019997,66.019997,109979100
2021-01-13,70.300003,73.900002,64.129997,69.500000,69.500000,153092700
2021-01-14,66.220001,68.550003,63.759998,66.540001,66.540001,89190000
2021-01-15,63.150002,65.000000,57.320000,60.139999,60.139999,80671000
2021-01-19,63.639999,68.449997,62.230000,66.470001,66.470001,62967300
2021-01-20,65.809998,65.849998,60.279999,62.500000,62.500000,64225700
2021-01-21,60.049999,65.330002,58.730000,63.689999,63.689999,55651300
2021-01-22,62.299999,67.019997,61.959999,66.870003,66.870003,40373300
2021-01-25,66.470001,70.580002,63.150002,65.720001,65.720001,35466900
2021-01-26,67.639999,75.489998,66.000000,73.180000,73.180000,70505800
2021-01-27,64.050003,69.510002,62.950001,64.419998,64.419998,72967800
2021-01-28,65.599998,68.000000,62.990002,65.279999,65.279999,41440400
2021-01-29,65.849998,67.150002,62.360001,63.169998,63.169998,28673700
2021-02-01,64.290001,65.699997,60.770000,63.849998,63.849998,19010200
2021-02-02,64.089996,64.930000,61.029999,64.250000,64.250000,24272700
2021-02-03,65.910004,68.680000,63.150002,67.379997,67.379997,28055500
2021-02-04,68.250000,70.510002,67.260002,67.669998,67.669998,21240500
2021-02-05,69.000000,69.099998,65.480003,65.769997,65.769997,18094100
2021-02-08,66.110001,67.199997,64.660004,66.190002,66.190002,15920700
2021-02-09,65.570000,69.879997,65.550003,67.480003,67.480003,23365800
2021-02-10,68.970001,69.000000,62.400002,64.330002,64.330002,27217000
2021-02-11,65.000000,65.589996,62.900002,63.990002,63.990002,13871700
2021-02-12,63.160000,64.129997,61.590000,63.189999,63.189999,12303100
2021-02-16,65.010002,65.010002,55.930000,59.000000,59.000000,32097700
2021-02-17,57.000000,58.799999,55.099998,56.230000,56.230000,21717200
2021-02-18,51.880001,54.480000,50.060101,50.230000,50.230000,33110666
